CALIBRATING to Okuda's ~5 spots on a 2000-cell ball
target spacing for 5 spots = R*sqrt(4pi/k)/L
  mesh spacing 0.4335, target spot spacing 18.3 cells

   chi  rd_rate  steps |   a_max  n_spots  spacing  verdict
   1.3     1.00   3000 |   0.406        1     0.00  
   1.3     0.30  10000 |   0.000        -        -  DEAD
   1.3     0.10  30000 |   0.000        -        -  DEAD
   1.3     0.03  30000 |   0.000        -        -  DEAD
   2.6     1.00   3000 |   0.410        1     0.00  
   2.6     0.30  10000 |   0.000        -        -  DEAD
   2.6     0.10  30000 |   0.000        -        -  DEAD
   2.6     0.03  30000 |   0.000        -        -  DEAD
   5.2     1.00   3000 |   0.000        -        -  DEAD
   5.2     0.30  10000 |   0.000        -        -  DEAD
   5.2     0.10  30000 |   0.000        -        -  DEAD
   5.2     0.03  30000 |   0.000        -        -  DEAD
