[22:47] watchdog up, guarding pid 3684495
[22:53] watchdog up, guarding pid 3685202
[22:58] ok -- 12 run dirs, campaign alive (pid 3685202)
[23:23] ok -- 23 run dirs, campaign alive (pid 3685202)
[23:26] watchdog up, guarding pid 3694077
[23:31] ok -- 12 run dirs, campaign alive (pid 3694128)
[23:51] ok -- 23 run dirs, campaign alive (pid 3694128)
[00:11] ok -- 33 run dirs, campaign alive (pid 3694128)
[00:36] ok -- 44 run dirs, campaign alive (pid 3694128)
[01:06] ok -- 55 run dirs, campaign alive (pid 3694128)
[01:26] ok -- 66 run dirs, campaign alive (pid 3694128)
[01:46] ok -- 77 run dirs, campaign alive (pid 3694128)
[02:11] ok -- 88 run dirs, campaign alive (pid 3694128)
[02:36] ok -- 99 run dirs, campaign alive (pid 3694128)
[02:56] ok -- 111 run dirs, campaign alive (pid 3694128)
[03:21] ok -- 122 run dirs, campaign alive (pid 3694128)
[03:41] ok -- 134 run dirs, campaign alive (pid 3694128)
[04:01] ok -- 145 run dirs, campaign alive (pid 3694128)
[04:26] ok -- 156 run dirs, campaign alive (pid 3694128)
[04:46] ok -- 166 run dirs, campaign alive (pid 3694128)
[05:06] ok -- 177 run dirs, campaign alive (pid 3694128)
[05:31] ok -- 188 run dirs, campaign alive (pid 3694128)
[05:51] ok -- 199 run dirs, campaign alive (pid 3694128)
[06:06] ok -- 210 run dirs, campaign alive (pid 3694128)
[06:26] ok -- 221 run dirs, campaign alive (pid 3694128)
[06:51] ok -- 232 run dirs, campaign alive (pid 3694128)
[07:06] ok -- 243 run dirs, campaign alive (pid 3694128)
[07:21] ok -- 252 run dirs, campaign alive (pid 3694128)
[07:36] ok -- 263 run dirs, campaign alive (pid 3694128)
[07:51] ok -- 274 run dirs, campaign alive (pid 3694128)
[08:06] campaign process is gone -- watchdog exiting
[08:32] watchdog up, guarding pid 3815879
[08:37] ok -- 12 run dirs, campaign alive (pid 3815940)
[08:42] ok -- 0 run dirs, campaign alive (pid 3815940)
[11:09] watchdog up, guarding pid 3863751
[11:14] ok -- 16 run dirs, campaign alive (pid 3863751)
[11:57] watchdog up, guarding pid 3863753
[12:02] ok -- 32 run dirs, campaign alive (pid 3863753)
[12:47] ok -- 48 run dirs, campaign alive (pid 3863753)
[13:10] watchdog up, guarding pid 3895227
[13:15] ok -- 16 run dirs, campaign alive (pid 3895230)
[13:52] watchdog up, guarding pid 3904326
[13:57] ok -- 16 run dirs, campaign alive (pid 3904329)
[14:09] watchdog up, guarding pid 3904329
[14:09] watchdog up, guarding pid 3904329
[14:14] ok -- 16 run dirs, campaign alive (pid 3904329)
